Product Sk,siteId,skuId,Unit Cost
hbi|eu|be|57483,60,057483,1.6100
hbi|eu|be|56550,60,056550,1.5200
hbi|eu|be|58336,60,058336,5.5700
hbi|eu|be|56551,60,056551,0.9400
hbi|eu|be|59633,60,059633,3.4900
hbi|eu|be|56571,60,056571,1.1500
hbi|eu|be|62504,60,062504,4.7100
hbi|eu|be|59395,60,059395,5.5500
hbi|eu|be|7322,60,007322,1.4300
hbi|eu|be|61510,60,061510,0.6700
hbi|eu|be|76873,60,076873,1.6500
hbi|eu|be|61521,60,061521,1.4500
hbi|eu|be|82833,60,082833,0.9700
hbi|eu|be|7851,60,007851,2.0900
hbi|eu|be|83618,60,083618,2.2300
hbi|eu|be|82709,60,082709,1.9000
hbi|eu|be|86375,60,086375,2.0600
hbi|eu|be|83688,60,083688,1.7900
hbi|eu|be|87079,60,087079,0.9100
hbi|eu|be|92302,60,092302,2.7000
hbi|eu|be|92549,60,092549,8.6600
hbi|eu|be|9323,60,009323,13.5800
hbi|eu|be|94666,60,094666,5.7400
hbi|eu|be|9325,60,009325,5.2800
hbi|eu|be|95783,60,095783,1.2300
hbi|eu|be|93483,60,093483,4.5900
hbi|eu|be|61521,60,061521,1.4500
hbi|eu|be|93703,60,093703,1.7700
hbi|eu|ie|10414,30,010414,7.5900
hbi|eu|be|98251,60,098251,4.5600
hbi|eu|ie|11193,30,011193,3.8500
hbi|eu|be|57780,60,057780,1.8800
hbi|eu|ie|11317,30,011317,2.2100
hbi|eu|ie|12188,30,012188,2.8500
hbi|eu|ie|13256,30,013256,0.8500
hbi|eu|ie|12814,30,012814,2.3100
hbi|eu|ie|13728,30,013728,5.3900
hbi|eu|ie|12815,30,012815,1.5200
hbi|eu|ie|1414,30,001414,5.1800
hbi|eu|ie|1411,30,001411,4.2700
hbi|eu|ie|14646,30,014646,1.4000
hbi|eu|ie|1422,30,001422,5.4600
hbi|eu|ie|14660,30,014660,1.4000
hbi|eu|ie|16852,30,016852,3.5700
hbi|eu|ie|19076,30,019076,2.2200
hbi|eu|ie|1806,30,001806,1.6100
hbi|eu|ie|20283,30,020283,0.5700
hbi|eu|ie|1811,30,001811,4.9100
hbi|eu|ie|24965,30,024965,21.8600
hbi|eu|ie|20604,30,020604,4.4700
hbi|eu|ie|25670,30,025670,3.3200
hbi|eu|ie|21266,30,021266,0.9000
hbi|eu|ie|29323,30,029323,0.5100
hbi|eu|ie|25668,30,025668,3.2400
hbi|eu|ie|3281,30,003281,0.7900
hbi|eu|ie|29177,30,029177,0.8900
hbi|eu|ie|33620,30,033620,2.2100
hbi|eu|ie|33632,30,033632,1.5100
hbi|eu|ie|33752,30,033752,5.0900
hbi|eu|ie|33635,30,033635,3.6600
hbi|eu|ie|34469,30,034469,5.9900
hbi|eu|ie|34073,30,034073,3.3700
hbi|eu|ie|34580,30,034580,5.5300
hbi|eu|ie|42516,30,042516,0.9800
hbi|eu|ie|39660,30,039660,7.0800
hbi|eu|ie|42629,30,042629,1.0800
hbi|eu|ie|41619,30,041619,2.9700
hbi|eu|ie|43125,30,043125,2.4200
hbi|eu|ie|41945,30,041945,2.0800
hbi|eu|ie|43168,30,043168,2.8000
hbi|eu|ie|43733,30,043733,3.7500
hbi|eu|ie|43191,30,043191,3.8000
hbi|eu|ie|44935,30,044935,1.8600
hbi|eu|ie|4472,30,004472,3.6400
hbi|eu|ie|46883,30,046883,4.0600
hbi|eu|ie|46039,30,046039,15.1000
hbi|eu|ie|46890,30,046890,5.4200
hbi|eu|ie|46971,30,046971,0.3600
hbi|eu|ie|46891,30,046891,4.6000
hbi|eu|ie|47010,30,047010,2.7100
hbi|eu|ie|46899,30,046899,1.2000
hbi|eu|ie|47682,30,047682,2.5800
hbi|eu|ie|46965,30,046965,7.3700
hbi|eu|ie|48196,30,048196,1.0900
hbi|eu|ie|47014,30,047014,6.6300
hbi|eu|ie|48755,30,048755,2.3400
hbi|eu|ie|47271,30,047271,1.3100
hbi|eu|ie|48771,30,048771,7.3900
hbi|eu|ie|47592,30,047592,2.0900
hbi|eu|ie|51557,30,051557,2.5700
hbi|eu|ie|48242,30,048242,5.7900
hbi|eu|ie|60051,30,060051,1.3900
hbi|eu|ie|48756,30,048756,2.5300
hbi|eu|ie|60229,30,060229,5.9400
hbi|eu|ie|49238,30,049238,4.5200
hbi|eu|ie|60285,30,060285,0.6000
hbi|eu|ie|50590,30,050590,7.7500
hbi|eu|ie|60572,30,060572,2.3300
hbi|eu|ie|50623,30,050623,10.2000
hbi|eu|ie|61488,30,061488,5.1000
hbi|eu|ie|5367,30,005367,3.0200
hbi|eu|ie|61659,30,061659,1.0500
hbi|eu|ie|60699,30,060699,6.2900
hbi|eu|ie|6316,30,006316,3.6700
hbi|eu|ie|63032,30,063032,23.0500
hbi|eu|ie|63552,30,063552,1.5700
hbi|eu|ie|672,30,000672,2.9000
hbi|eu|ie|63566,30,063566,1.2700
hbi|eu|ie|7118,30,007118,4.6200
hbi|eu|ie|63728,30,063728,33.7900
hbi|eu|ie|72889,30,072889,3.3200
hbi|eu|ie|63731,30,063731,22.4700
hbi|eu|ie|72899,30,072899,3.2600
hbi|eu|ie|6625,30,006625,3.1300
hbi|eu|ie|77144,30,077144,2.2800
hbi|eu|ie|76075,30,076075,3.9000
hbi|eu|ie|7850,30,007850,1.9500
hbi|eu|ie|76745,30,076745,22.0600
hbi|eu|ie|78924,30,078924,7.3400
hbi|eu|ie|7769,30,007769,1.0900
hbi|eu|ie|79231,30,079231,12.9700
hbi|eu|ie|80170,30,080170,2.6100
hbi|eu|ie|81983,30,081983,1.0200
hbi|eu|ie|83803,30,083803,1.7500
hbi|eu|ie|83258,30,083258,6.1100
hbi|eu|ie|8557,30,008557,3.5100
hbi|eu|ie|83586,30,083586,3.1900
hbi|eu|ie|8582,30,008582,2.5200
hbi|eu|ie|83587,30,083587,1.5900
hbi|eu|ie|9072,30,009072,7.2000
hbi|eu|ie|8366,30,008366,6.2200
hbi|eu|ie|91007,30,091007,0.9300
hbi|eu|ie|8500,30,008500,1.3000
hbi|eu|ie|91010,30,091010,0.6100
hbi|eu|ie|86890,30,086890,1.6300
hbi|eu|ie|92612,30,092612,2.4700
hbi|eu|ie|90709,30,090709,2.0600
hbi|eu|ie|9605,30,009605,2.8200
hbi|eu|ie|90993,30,090993,0.8200
hbi|eu|ie|9805,30,009805,3.0000
hbi|eu|ie|91941,30,091941,9.9700
hbi|eu|ie|99176,30,099176,6.1000
hbi|eu|ie|9729,30,009729,2.1300
hbi|eu|ie|47120,30,047120,4.0500
hbi|eu|ie|42315,30,042315,5.1300
