Product Sk,siteId,skuId,Unit Cost
hbi|eu|nl|1213,40,1213,7.6
hbi|eu|ie|5216,30,5216,1.46
hbi|eu|nl|14,40,14,6.74
hbi|eu|ie|60263,30,60263,3.07
hbi|eu|nl|15285,40,15285,5.7
hbi|eu|ie|61047,30,61047,5.5
hbi|eu|nl|15514,40,15514,2.12
hbi|eu|ie|7389,30,7389,2.3
hbi|eu|nl|15865,40,15865,0.89
hbi|eu|ie|89690,30,89690,0.46
hbi|eu|nl|16078,40,16078,2.72
hbi|eu|nl|10338,40,10338,6.23
hbi|eu|nl|16338,40,16338,4.98
hbi|eu|nl|10531,40,10531,3.33
hbi|eu|nl|1634,40,1634,1.83
hbi|eu|nl|10898,40,10898,1.85
hbi|eu|nl|16429,40,16429,4.23
hbi|eu|nl|11166,40,11166,7.01
hbi|eu|nl|16453,40,16453,4.15
hbi|eu|nl|11979,40,11979,4.3
hbi|eu|nl|17515,40,17515,1.03
hbi|eu|nl|12492,40,12492,3.05
hbi|eu|nl|17773,40,17773,1.68
hbi|eu|nl|13874,40,13874,1.34
hbi|eu|nl|19266,40,19266,5.61
hbi|eu|nl|15831,40,15831,0.83
hbi|eu|nl|20032,40,20032,1.69
hbi|eu|nl|15896,40,15896,1.16
hbi|eu|nl|20218,40,20218,10.17
hbi|eu|nl|16252,40,16252,4.27
hbi|eu|nl|23028,40,23028,2.29
hbi|eu|nl|16328,40,16328,2.25
hbi|eu|nl|23968,40,23968,1.36
hbi|eu|nl|16380,40,16380,3.21
hbi|eu|nl|24681,40,24681,10.11
hbi|eu|nl|16458,40,16458,5.28
hbi|eu|nl|2572,40,2572,2.63
hbi|eu|nl|1805,40,1805,1.18
hbi|eu|nl|2840,40,2840,0.69
hbi|eu|nl|18295,40,18295,4.38
hbi|eu|nl|28912,40,28912,6.41
hbi|eu|nl|18981,40,18981,1.69
hbi|eu|nl|30409,40,30409,2.68
hbi|eu|nl|23148,40,23148,5.4
hbi|eu|nl|3115,40,3115,4.68
hbi|eu|nl|24626,40,24626,3.73
hbi|eu|nl|3133,40,3133,1.18
hbi|eu|nl|24790,40,24790,9.74
hbi|eu|nl|3141,40,3141,1.13
hbi|eu|nl|24897,40,24897,4.51
hbi|eu|nl|35480,40,35480,7.62
hbi|eu|nl|27478,40,27478,12.91
hbi|eu|nl|35810,40,35810,4.28
hbi|eu|nl|27527,40,27527,1.14
hbi|eu|nl|37275,40,37275,1.41
hbi|eu|nl|28765,40,28765,1.06
hbi|eu|nl|37312,40,37312,1.31
hbi|eu|nl|3119,40,3119,4.69
hbi|eu|nl|37315,40,37315,1.41
hbi|eu|nl|33736,40,33736,4.47
hbi|eu|nl|38782,40,38782,3.15
hbi|eu|nl|33986,40,33986,13.48
hbi|eu|nl|38942,40,38942,1.69
hbi|eu|nl|36736,40,36736,1.15
hbi|eu|nl|40519,40,40519,4.76
hbi|eu|nl|37339,40,37339,1.48
hbi|eu|nl|41530,40,41530,4.6
hbi|eu|nl|38934,40,38934,1.42
hbi|eu|nl|4205,40,4205,5.65
hbi|eu|nl|3998,40,3998,4.87
hbi|eu|nl|42648,40,42648,3.45
hbi|eu|nl|40713,40,40713,4.16
hbi|eu|nl|43273,40,43273,3.72
hbi|eu|nl|4073,40,4073,5.13
hbi|eu|nl|44530,40,44530,8.38
hbi|eu|nl|42124,40,42124,1.17
hbi|eu|nl|44698,40,44698,1.62
hbi|eu|nl|43074,40,43074,5.02
hbi|eu|nl|44733,40,44733,2.07
hbi|eu|nl|43574,40,43574,6.59
hbi|eu|nl|44896,40,44896,4
hbi|eu|nl|44932,40,44932,4.76
hbi|eu|nl|45864,40,45864,0.68
hbi|eu|nl|45261,40,45261,9.15
hbi|eu|nl|46448,40,46448,2.87
hbi|eu|nl|45860,40,45860,0.76
hbi|eu|nl|46920,40,46920,3.55
hbi|eu|nl|45994,40,45994,3.9
hbi|eu|nl|47762,40,47762,2.21
hbi|eu|nl|46029,40,46029,10
hbi|eu|nl|47828,40,47828,1.33
hbi|eu|nl|46705,40,46705,3.95
hbi|eu|nl|47865,40,47865,1.48
hbi|eu|nl|4693,40,4693,8.66
hbi|eu|nl|48517,40,48517,14.81
hbi|eu|nl|46960,40,46960,2.59
hbi|eu|nl|48518,40,48518,9.72
hbi|eu|nl|47199,40,47199,4.55
hbi|eu|nl|48858,40,48858,2.49
hbi|eu|nl|47203,40,47203,4.93
hbi|eu|nl|49188,40,49188,0.91
hbi|eu|nl|47205,40,47205,3.21
hbi|eu|nl|49433,40,49433,2.38
hbi|eu|nl|47779,40,47779,1.06
hbi|eu|nl|49648,40,49648,2.29
hbi|eu|nl|47856,40,47856,1.44
hbi|eu|nl|49697,40,49697,3.96
